,tweet,label
62,note arizona fall case complete test count yesterday worth recall july NUM governor ducey say state would NUM k test per day end july NUM day roll average test report NUM NUM NUM test report NUM NUM NUM,real
63,total number recover case NUM NUM active case additional death one person still hospital person require intensive care yesterday lab process NUM test total test complete NUM,real
64,delhi public school sell face mask rs NUM,fake
65,really unusual change state anything similar give important caveat change must look little skeptically hear happen live ca v v v happy news,real
66,daily update publish ’ track NUM million test NUM k yesterday detail see,real
67,cocaine cure covid NUM,fake
68,word straightforward science behind failure chloroquine hydroxychloroquine show efficacy treat covid NUM NUM NUM,fake
69,japanese nobel laureate dr tasuku honjo say china manufacture coronavirus work wuhan lab later produce,fake
70,claim cow urine dung could treat covid NUM assam legislator haripriya fact claim add misinformation fear monger fight disease scientifically anant bhanhealth researcher preventive med cure yet,fake
71,popular florida beach evacuate jellyfish test positive coronavirus coronavirus beach,fake
72,image show vaccine coronavirus already discover patent readily available,fake
73,india fight corona NUM total co vid case report five state state also report maximum new recovery past NUM hour india win,real
74,NUM people isolate auckland quarantine facility community include NUM people test positive covid NUM household contact,real
75,people arrive tirur kerala india mumbai train escape sight authority avoid quarantine,fake
76,recently alert flare nipah virus niv,fake
77,“ pandemic make u realize truly connected home across whole world ” cdc disease detective rachael zacks deploy seattle test one united state ’ first know co vid patient story,real
78,kylie minogue admits ’ find quite funny glastonbury NUM cancel due coronavirus people work hard get ticket,fake
79,corona virus simple remedy onion pinch salt drink water half hour,fake
80,rt co vid update backhand index point right NUM case fatality report past NUM hour backhand index point right new death nearly NUM c…,real
81,coronavirus patient admitted hospital give naturopathy treatment also like steam garaare plus coronil vati hospitalize patient give coronil vati also doctor supervision casaulty willbe low,fake
82,headache may key symptom co vid,real
83,message claim many physician chang gung hospital taiwan secretly quarantine covid NUM indicate local transmission lack transparency government data,fake
84,loudspeaker coronavirus update check mark button india co vid recovery rate improve NUM september NUM NUM round pushpin steady improvement india covid NUM recovery rate since lockdown initiation march NUM NUM india fight corona via,real
85,everyone grand millennium people test part test around day NUM NUM result pick woman day three test example new test regime work ⁣ ⁣ ⁣,real
86,u situation continue highly influenced regional decline ny metro area—while rest country show different pattern,real
87,un secretary general antonio guterres say co vid pandemic dramatically derail sustainable development goal put question progress make eradication poverty hunger late world news,real
88,rt india fight corona india ’ maintain high co vid recovery rate total recovery cross NUM lakh recover patients…,real
89,india fight corona focussing timely aggressive test india exceed NUM crore test,real
90,air conditioner fan may help spread coronavirus,real
91,european health organization eho announce eat beef cure coronavirus,fake
92,’ grateful fund already commit towards covax facility urgently need continue move portfolio forward co vid,real
93,indian government ’ ministry ayush ask patanjali ayurved stop advertising ’ find cure coronavirus examination tennis world champion novak djokovic test positive covid NUM take part adria tour co vid coronavirus fact,fake
94,mass disinfection people use chemical solution eradicate covid NUM,fake
95,family member die infected corona virus anguish face heart cry face say,fake
96,chemical methylxanthine theobromine theophylline stimulate compound ward virus human least average immune system whats shock complex word difficult people china understand actually call coffee india yes regular coffee chemical already,fake
97,neighbor noia region galicia spain infect coronavirus,fake
98,’ put family risk co vid visit person call grandparent invite video chat keep love one safe stay connect physically distant physical distance together alone,real
99,photo old italian man cry health improve,fake
100,steep rise co vid recovery indicate india collaborative grade evolve response strategy borne result,real
101,india fight corona govt india release NUM st instalment state disaster response fund amount rs NUM crore state govts NUM rd april NUM strengthen state deal co vid pandemic union minister backhand index point right,real
102,seven child die coronavirus within one week karimganj assam india,fake
103,india muslim boy rizwan die beaten police tanda relative say hungry go buy biscuit domestic item,fake
104,NUM july NUM pune district total positive co vid case NUM active co vid case NUM maharastra co vid co vid corona update coronavirus india coronavirus update coronavirus co vid update,real
105,rt dyk cloth face covering may help prevent people co vid know exper…,real
106,china threaten australia covid NUM inquiry proposal donald trump china co vid chinese communist party,fake
107,new york hospital report fungal lung infection face mask wear slow spread covid NUM,fake
108,new case continue slowly floating downwards,real
109,today cdc report death person hospitalize co vid NUM first report death within u covid NUM infection cause novel coronavirus,real
110,total number confirm case NUM number report world health organization,real
111,existence canine coronavirus vaccine cast doubt statement ’ one human,fake
112,support country every situation yesterday publish updated guidance school relate public health measure context co vid,real
113,important study find NUM people live covid patient get disease patient patient appear infectious presymptomatic period symptomatic period contact trace matter,real
114,yesterday honour invite h e commission molecular diagnostic laboratory gombe state specialist hospital enhance prompt detection co vid infectious disease state take responsibility,real
115,whatsapp forward look like order government jammu kashmir read high speed NUM g internet service restore state march NUM also warn people misuse internet facility result legal action,fake
116,present nine vaccine part dynamic portfolio constantly review optimised ensure access best possible range product co vid,real
117,headline claim north macedonia receive medical help european union,fake
118,important understand difference stay home order social distancing guideline best thing beat covid stay home go learn urge leader take action,real
119,big day appear test dump california report NUM k test today michigan new york georgia also report NUM k test NUM state report NUM k overall u NUM k daily test since last sunday,real
120,india record NUM new positive covid NUM case NUM death icmr directs institute conduct clinical trial covaxin india ’ first potential coronavirus vaccine fast track approval aim launch NUM august coronavirus fact co vid,fake
121,’ close contact person co vid public health worker may call let know ’ expose answer call slow spread learn happen contact trace,real
122,yesterday laboratory process NUM test bring total number test complete date NUM NUM swab take manage isolation quarantine facility yesterday,real
123,hospital ship steer towards disaster relief coronavirus,real
124,italian doctor say one die coronavirus,fake
125,india fight corona NUM total recover case report NUM state uts top five state maximum caseload also nodal high number total recovery,real
126,old child seem spread covid like adult,real
127,john brook chief medical officer cdc ’ co vid response amp team sift newly publish report covid NUM hop apply finding slow spread covid NUM read,real
128,coronavirus update round pushpin total co vid case india september NUM NUM play button NUM cure discharge migrate NUM play button NUM active case NUM play button NUM death NUM total covid NUM confirm case cure discharge migrate active case death,real
129,continuous use hand sanitizers cause cancer,fake
130,short documentary united state ruin world fail something drink bleach know mms miracle mineral solution miracle cure coronavirus bad thing google send tweet,fake
131,coronavirus pandemic epidemic coronavirus test david crowe,fake
132,daily update publish u complete test least NUM people NUM yesterday total note track test state report state report negative test detail see,real
133,san marcos NUM national fair aguascalientes mexico cancel new coronavirus,fake
134,labour ask problem co vid test add pretend problem part problem pm say testing record high uk test people european country pm q,real
135,co vid coronavirus coronavirus update unbelievable president,fake
136,concerned survival please try avoid travel flight metro gate window close government take respective measure safety people incident thumb corona pti flight co vid indigo airline metro,fake
137,loudspeaker coronavirus update round pushpin co vid india tracker NUM august NUM NUM NUM right arrow confirm case NUM right arrow recover NUM NUM thumbs right arrow active case NUM NUM right arrow death NUM NUM india fight corona india win stay safe via,real
138,representative several state dispute fox news host sean hannity ’ claim trump administration “ zero unfulfilled equipment supply request state governor ” relate coronavirus,fake
139,picture state wear protective mask slow inescapable suicide lead consume dangerous amount carbon dioxide,fake
140,researcher warn tick coronavirus time bomb NUM bomb via,real
141,multiple study say decade mask work virus �,fake
142,azithromycin ivermectin efficient medicine cure covid NUM,fake
143,need president demonstrate leadership address every aspect pandemic — include spate racist incident target asian american pacific islander — urgency seriousness donald trump president,fake
144,bing liu researcher discover vaccine covid NUM murder u,fake
145,hospital acquire coronavirus reach staff well patient,real
146,usa cross NUM death NUM day brazil NUM day mexico NUM day india take NUM day,real
147,coronavirus defeat anti inflammatories anticoagulant,fake
148,past two day worth note two large state begin report complete test data nj yesterday oh today move number ca remain major question mark hope see movement later today wa yet report outcome,real
149,want encourage remind everyone respiratory symptom seek advice healthline gp hour clinic get tested test free ⁣ ⁣,real
150,late update ministry health manatū hauora ⁣ ⁣ • third consecutive day report new case covid NUM ⁣ ⁣ • mean new zealand ’ combine total confirm probable case remain NUM NUM confirm,real
151,systematic review show people diabetes NUM NUM time likely severe symptom die co vid,real
152,coronavirus update state wise detail total confirm co vid case till NUM september NUM NUM right arrow state NUM NUM confirm case right arrow state NUM NUM confirm case right arrow state NUM confirm case right arrow total confirmed case far stay safe,real
153,india fight corona nearly NUM new recovery come five state NUM state uts report recovery rate NUM stay safe india win,real
154,rt laud building make shift hospital capacity NUM patient amp additional NUM icu beds…,real
155,donald trump call coronavirus ‘ chinese virus ’ health expert say ’ wrong,fake
156,idh hospital main center sri lanka treat covid NUM patient shortage number essential,fake
157,state report NUM case story past week large magnitude,real
158,estimate size unsustainable corporate debt mountain create co vid pandemic slash £ NUM bn influential city figure,real
159,see covid cheat amp forgery loot udupi karnataka gangadhar father body ethic humanity unpredictable battle start hospital loot amp dupe poor NUM,fake
160,break news day update website abruptly delete information aerosol main covid NUM mode transmission,real
161,nobody find dead corona home die hospital,fake
162,one methodological note hospitalization data state report two fundamentally unlike statistic current hospitalization icu admission cumulative hospitalization icu admission also incomplete report overall,real
163,business please put qr code ’ unwell please seek advice test full update identify NUM case stage remain link one cluster auckland,real
164,coronavirus update co vid testing status update state NUM sample test upto september NUM NUM NUM sample test september NUM NUM stay safe india win,real
165,NUM new case co vid nigeria lagos NUM kaduna NUM fct NUM plateau NUM kano NUM edo NUM ogun NUM delta NUM osun NUM oyo NUM ekiti NUM bayelsa NUM akwa ibom NUM borno NUM enugu NUM ebonyi NUM river NUM bauchi NUM nasarawa NUM gombe NUM niger NUM NUM confirm NUM discharge NUM death,real
166,celebrate eidal adha remember limit spread co vid around check mark button avoid share personal item check mark button wear face mask check mark button observe physical distancing check mark button wash hand often check mark button sneeze cough bent elbow let celebrate sallah safely take responsibility,real
167,metformin may lower risk fatal covid NUM,real
168,great news carona virus vaccine ready able cure patient within NUM hour injection hat u scientist trump announce roche medical company launch vaccine next sunday million of…,fake
169,month pandemic wonder covid NUM government response thing relate covid NUM politifact would like know see needs verification fact check,fake
170,access co vid tool act accelerator facilitation council facilitate work act accelerator political leadership amp advocacy collective approach solution global interest mobilize resource backhand index point right,real
171,uncomfortable evidence get covid NUM test could cause anything serious temporary irritation,fake
172,india fight corona NUM state account NUM total active case country maharashtra karnataka andhra pradesh uttar pradesh amp tamil nadu secretary stay safe india win,real
173,hotel remain closed india till NUM october NUM,fake
174,“ guarantee safety child co vid school resume provide guideline safe opening school ” hon emeka nwajiuba minister state,real
175,owner indian jewellry group joyalukkas die due covid NUM,fake
176,dr parmeshwar arora md ayurvedic senior consultant sir gangaram hospital visit bank colony gurgaon brief co vid,fake
177,favipiravir colchicine could kill virus help avoid symptons,fake
178,today NUM dedicate co vid hospital across country total NUM bed co vid patient co vid co vid co vid corona update coronavirus india coronavirus update coronavirus,real
179,india fight corona NUM state uts registered recovery rate national average,real
180,open ceremony NUM london olympics projection coronavirus pandemic hospital bed apperaing scene open show boris johnson hospital bed prove spread disease plan advance,fake
181,’ lot report today many state appear holiday related backlog number fill week ’ able dig state regional data,real
182,india spray pesticide night prevent covid NUM,fake
183,say NUM book end day � predict current coronavirus outbreak,fake
184,late update ministry health NUM th consecutive day new case covid NUM report new zealand ⁣ ⁣ total number confirm case remain NUM number report world health organization ⁣,real
185,accord plandemic documentary actual pandemic come sars outbreak,fake
186,student pondicherry university find home remedy cure covid NUM accept mix black pepper powder ginger honey consume NUM day cure person new coronavirus,fake
187,per caput number obviously important—and use case covid spread quickly absolute number also important,real
188,child get virus go hospital alone van people know people know home without time need �,fake
189,NUM NUM start reasonably necessary much difficult huge number coronavirus case reduce significantly little commun­ity transmission … argue still need border shut quote source,fake
190,today NUM active co vid case gandhinagar district gujarat co vid co vid co vid corona update coronavirus india coronavirus update coronavirus co vid update,real
191,bill gate predict coronavirus pandemic would kill NUM million people create vaccine eradicate african,fake
192,however death toll also reach new daily high NUM cumulative number death dataset reach NUM include NUM probable covid NUM death report new york city new york state,real
193,nevada keep stay home hospital become overloaded distancing relax potential NUM k hospitalization overwhelm system may NUM nd,real
194,new york continue high positive test per caput indication intensity test severity outbreak ’ top NUM new york washington new jersey louisiana dc michigan illinois vermont colorado rhode island,real
195,daily update publish state report NUM k new test today detail see,real
196,boil orange peel wit cayenne pepper stand pot breathe steam mucus release yo nasal mucus problem virus live �,fake
197,government chief scientific officer sir patrick vallance say uk could face NUM new co vid case day mid october get late story,real
198,myanmar president state counselor NUM day quarantine meeting covid NUM patient switzerland,fake
199,say anthony fauci statement coronavirus death rate NUM time seasonal flu claim without scientific basis,fake
200,college campus reopen recent data show overall case increase among non hispanic white people especially people age NUM NUM slow spread wear mask stay NUM ft others wash hand see demographic trend,real
201,punjab government announce cancellation university college exam view covid NUM pandemic bihar cm nitish kumar send swab sample covid NUM test come contact covid NUM positive politician co vid coronavirus fact,fake
202,rt late co vid view report show weekly hospitalization associate co vid peak twice si…,real
203,coronavirus stick faster men shave head,fake
204,president donald trump tweet “ oldie die ’ god ’ hand folk liberate america ”,fake
205,india fight corona patient recover discharged hospital home isolation case mild moderate case india co vid total recovery cross NUM lakh today detail stay safe,real
206,neighbor noia region galicia spain infect coronavirus,fake
207,cdc currently report NUM death general discrepancy death count different source small explicable death toll stand roughly NUM people today,real
208,say coronavirus patent expire sudden outbreak despite medium fear monger already vaccine available,fake
209,rt contact trace test support isolation ttsi across nation provide pandemic safety get u back o…,real
210,’ start see evidence long term exposure air pollution—which disproportionately affect community color amp low income communities—is link covid NUM death rate past time treat pollution like threat health,fake
211,drink alcohol prevent coronavirus increase alcohol consumption read become news checker never fall fake news ear hear main bhi news checker story co vid coronavirus fact,fake
212,state report NUM death new jersey report NUM NUM day average remain NUM,real
213,image bjp men smear cow dung one another party leader suman haripriya say cow dung may help cure coronavirus,fake
214,uk face another national lockdown short order unless people abide new co vid restriction government adviser warns,real
215,china world health organization must hold accountable every nation represent united nation bio engineer global weapon wuhan coronavirus every country government accountable financially every man woman child,fake
216,today ’ still sure much new hhs guideline hospital data report affect data state report far look like two state idaho missouri run trouble ’ mo hospital assoc say,real
217,worker call back job deserve access regular reliable covid NUM testing,fake
218,india record NUM fatality big record far single day take country ’ total number death NUM unlock NUM begin today resumption domestic flight passenger train service extend coronavirus coronavirus fact,fake
219,one last data note reporting california ’ pending number publish irregularly quite large— NUM –and worth consider look data,real
220,holy qur ban china ban lift chinese muslim allow read holy quran,fake
221,serbian pm state citizen south korea pay get test coronavirus,fake
222,coronavirus lead layoff strip worker employer sponsor health insurance top republicans actually encourage people sign plan available marketplace set obamacare,fake
223,gunes newspaper publish article covid NUM production lab NUM,fake
224,local man appoint world foremost expert coronavirus,fake
225,post claim speaker winsconsin state assembly robin vos wear protective gear “ election worker force work … ”,fake
226,“ test london still mess ” mayor london sadiq khan explain new measure would like see capital call sit government ’ cobra meeting get late coronavirus,real
227,kia os liz cafe decide imagine allow use grin face,real
228,nurse say brazilian state municipality earn federal funding every death record covid NUM,fake
229,NUM close contact identify two work place americold mt wellington dominion road branch finance NUM contact far ⠀ ⠀,real
230,photograph former united state president barack obama caption say take chinese laboratory wuhan barack obama anthony fauci melinda gate visit virus factory probably check progress coronavirus research,fake
231,new case remain yesterday NUM day average pretty steady last NUM day,real
232,texas warn dread chupacabra could carry coronavirus donald trump texas dna la chupacabra,fake
233,bidensoetoro funnel illegal million faucci nih china wuhan institute viralogy coronavirus bioweapon program congress expressly prohibit bidensooetoro work bidensoetoro ccp amp associate cause present covid bioweapon disaster,fake
234,“ use medical mask suppose wear white side sick ”,fake
235,bill gate vatican plan depopulate world coronavirus vaccine,fake
236,james franco say coronavirus kill NUM people lose shit obesity kill NUM people annually come new flavor doritos,fake
237,kia os jessica NUM th june count first day manage isolation able leave manage isolation NUM rd july safe travel,real
238,rt ’ natural experience many emotion co vid get help assist find way cope these…,real
239,death young sri lankan nurse living adelaide australia due covid NUM,fake
240,harr roz NUM corona case h delhi mai cm sir say condition control best lockdown NUM today delhi open everything park bazar without social distancing also know ito jam delhi noida border jam corona case NUM arvind ke jari wal,fake
241,rt icmyi fact check president trump oshkosh speech dig claim covid NUM number farmer manufacturin…,fake
242,india fight corona total NUM death register past NUM hour NUM death report yesterday maharashtra NUM death follow karnataka NUM death tamil nadu NUM death detail stay safe,real
243,one new zealand receive hospital level care covid NUM yesterday laboratory complete NUM test bring total number test complete date NUM NUM swab complete managed isolation quarantine facility,real
244,whole floor main peruvian hospital infect covid NUM decide close place,fake
245,covid NUM abbreviation coronavirus disease NUM year first case report stopped people share fake meaning,fake
246,NUM approve co vid test labs delhi comprise NUM govt lab amp NUM pvt lab kindly refer follow link list lab co vid co vid co vid co vid co vid india corona coronavirus coronavirus india,real
247,claim india ministry home affair make punishable offense � citizen publish post social medium novel coronavirus share repeatedly facebook twitter whatsapp,fake
248,washington post publish editorial whose title either wild capitalism die civilization dy,fake
249,recent study appear journal hospital infection reveal super spreader hong kong japan singapore imply early social distancing measure place effective limit covid spread read study,real
250,NUM new case co vid nigeria lagos NUM fct NUM oyo NUM kaduna NUM abia NUM osun NUM ogun NUM enugu NUM river NUM nasarawa NUM ekiti NUM imo NUM edo NUM kwara NUM katsina NUM plateau NUM niger NUM NUM confirm NUM discharge NUM death,real
251,NUM nd week jan China map genome amp share amp wider globe show Europe Africa rapidly publish “ ” building pcr test co vid partner lab Germany NUM rd week identify amp begin contract validated production test,real
252,u coronavirus death reach mass shooter level care,fake
253,kowheori NUM covid NUM update new case covid NUM report new zealand today,real
254,total number confirm case covid NUM NUM number report world health organization ​ ​ yesterday laboratory process NUM test covid NUM bring total number test complete date NUM,real
255,NUM case link community outbreak NUM link auckland cluster NUM remain investigation maintenance worker rydges hotel facility case announce yesterday reclassify investigation,real
256,schedule sale milk newspaper grocery medical store issue mumbai police commissioner,fake
257,loudspeaker coronavirus update round pushpin co vid india tracker NUM september NUM NUM NUM right arrow confirm case NUM right arrow recover NUM NUM thumbs right arrow active case NUM NUM right arrow death NUM NUM india fight corona india win stay safe via,real
258,currently case co vid u amp report community spread country see community spread successful containment become hard cdc prepare community spread u,real
259,japan ioc postpone NUM olympic event except fence tokyo co vid,fake
260,use coronavirus self checker help decide seek test medical care co vid learn,real
261,big promise industry come receive part note,real
262,month trump administration repeatedly warn threat covid NUM pose nation ignore expert fail take action american pay price,fake
263,NUM case fatality report past NUM hour NUM total death concentrate five state ut maharashtra tamil nadu karnataka andhra pradesh delhi,real
264,co vid nigeria update lagos state biosafety level NUM laboratory activate co vid test brings number covid NUM test labs nigeria NUM progress maiduguri kano sokoto port harcourt jos amp kaduna take responsibility,real
265,bjp leader share fake ad japanese novelist say covid NUM man make,fake
266,normally share page disappoint relieve facebut lose word cry night think pick bottle baffle see people still realise world go right nowdouble exclamation mark please sharedouble exclamation mark guy must arrest,fake
267,NUM year ago publish study chloroquine effective covid NUM,fake
268,number currently hospitalize covid patient texas surpass california today,real
269,president unite state america donald trump test positive covid NUM,fake
270,trump denies french claim coronavirus present france november donald trump china coronavirus,fake
271,coronavirus update india record high ever single day peak NUM co vid recovery india fight corona total recovery cross NUM lakh recovery exceed active case NUM lakh,real
272,trump claim decision president governor open state,fake
273,india fight corona principal secretary prime minister comprehensively review co vid preparedness amp response unlock precaution amp preparedness key focus area stage vaccine development vaccine distribution plan also discuss stay safe NUM NUM,real
274,daily update publish ’ track NUM million test NUM k yesterday line recent number detail see correct chart miss day data,real
275,don´t follow sweden herd immunity strategy sweden gaslighted think don´t even pandemic even w NUM death NUM long term c NUM case amp number infect increase despite questionable diy test offer ppl still dont believe,fake
276,NUM way healthcare use predictive analytics combat co vid hit solution hit equity prevention,fake
277,pediatric infection rate reminder address social inequity take virus seriously,real
278,alcohol wash sanitize digestive system,fake
279,although americas affected region uruguay report low number co vid case death latin america total per capita basis,real
280,• thursday retail mall cafes restaurant cinemas public space like playground gyms reopen • monday NUM may school reopen student give school time prepare communicate parent,real
281,result genome test two auckland covid NUM case investigation return morning confirm one case connect auckland august cluster info,real
282,ramakrishna hospital seal staff test covid NUM positive,fake
283,well know many pending ratio NUM NUM pretty much past day,real
284,NUM new case co vid lagos NUM abia NUM oyo NUM fct NUM ogun NUM enugu NUM ondo NUM plateau NUM edo NUM delta NUM river NUM bayelsa NUM akwa ibom NUM kaduna NUM kano NUM bauchi NUM gombe NUM osun NUM benue NUM nasarawa NUM kwara NUM ekiti NUM borno NUM NUM confirm NUM discharge NUM death,real
285,flu vaccine cause return false positive covid NUM late corona check believe misinformation internet watch corona check instead coronavirus fact datos coronavirus,fake
286,NUM g technology responsible increase number death covid NUM,fake
287,NUM coronavirus death france care facility,fake
288,new coronavirus ph varies NUM NUM defeat need consume alkaline food,fake
289,NUM link community cluster transfer auckland quarantine facility include NUM people test positive covid NUM household contact,real
290,see way outbreak shift since march timeline case per million people,real
291,federal deputy equivalent federal representative brazil osmar terra claim italy lockdown policy make covid NUM case shot,fake
292,late update ministry health new case covid NUM report new zealand NUM th consecutive day new case total number confirm case remain NUM number report world health organisation,real
293,although still face many challenge encourage progress make new virus NUM month national unity global solidarity end co vid pandemic,real
294,african take chloroquine antimalarial prophylactic work covid dozen doctor appear video twitter want public know believe hydroxydhloroquine covid treatment twitter censor video maddow msm amp,fake
295,man order family military manouevres kid coronavirus military lockdown wargames,fake
296,prince andrew officiate grand reopen woking pizza express,fake
297,important part work data collection amp analysis NUM NUM pm daily data team collate result receive test lab across state inform nigerian number new co vid case result receive time report next day,real
298,nationally NUM day average death begin rise extend decline last three day high number ’ since early june,real
299,contact trace matter people contract covid show symptom right away exposed individual begin infect others critical trace may contact people test quarantine necessary,real
300,india congress president ’ approval require use fund pmnrf,fake
301,kanika kapoor spread love care around world hrh prince charles diagnose covid NUM today,fake
302,test quality reusable mask blow light wear,fake
303,truth never keep carpet china civilization also know ccp amp chinese leadership NUM co vid NUM engineer wuhan lab know NUM dr li meng yan virologist sars cov NUM human make virus NUM,fake
304,member tablighi jamaat misbehave covid NUM quarantine zone,fake
305,olive garden employee allow wear black life matter mask “ american flag,fake
306,co vid seem spread easily people close quarter ship u recommend traveler especially older underlie health issue defer cruise ship travel worldwide,real
307,nearly NUM new case record india inching towards NUM lakh confirm case soon supreme court panel recommend resumption physical hearing two three courtroom trial basis two week co vid coronavirus,fake
308,co vid coronavirus india coronavirus update america support muslim thrash indian godi medium backhand index pointing,fake
309,researcher design molecule pink stick tightly coronavirus spike protein blue prevent virus infect cell molecule might someday use aerosolize drug treat prevent co vid,fake
310,late update ministry health new case covid NUM report new zealand NUM th consecutive day new case total number confirm case remain NUM number report world health organization,real
311,window jet park hamilton young people recently return new zealand keep busy little competition see decorate window best day,real
312,pennsylvania action take past two week include shut thousand business issue “ stay home ” order NUM counties essential thwart bad case scenario reduce future death,real
313,’ call coronavirus something else ” ask local man name covid NUM,fake
314,NUM NUM NUM clinical trial release today havana cuba good news cuba china antiviral injection heberon alfa r interferon alfa NUM b treat early covid NUM however control group much sicker,fake
315,number co vid case cumulative continue increase u late cdc co vid view report show nationally proportion people go doctor er covid like symptom continue decline remain stable,real
316,major league baseball consider tear coronavirus infest marlin park coronavirus baseball,fake
317,covid NUM hat woman leader love trump donald trump china vladimir put woman angela merkel dictatorship,fake
318,apologise government ekiti state error remain commit improving quality control process ensure accurate transparent reporting case,real
